# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2026 Track 1, outer loop. Centreline extracted from the ROS occupancy
# grid beside this file by tools/centerline_from_map.py (centerline_around,
# hole_rank=0). The corridor BRANCHES -- an outer ring plus an inner section --
# so it has no unique centreline; it has one per loop, and a loop is named by
# the hole it encircles. This is the outer lap.
# Rows of cones are welded into continuous wall before extraction
# (connect_cone_rows): as separate blobs a cone row is mostly free space between
# the cones, so filling those holes -- which the skeleton needs -- turned a
# BOUNDARY into driveable track. 2263 px of formerly free space are wall here.
# The extracted line clears the nearest weld by 0.70 m against a 0.12 m car
# half-width, and no point of it lies inside one.
# lap 69.2 m, 800 points, closure 0.07 m, 100% of the centreline inside the corridor.
2.779028,0.134254,1.000000,1.000000
2.865328,0.131338,1.000000,1.000000
2.951572,0.127046,0.996243,0.996243
3.037802,0.122120,0.970824,0.970824
3.124031,0.117120,0.955249,0.955249
3.210293,0.112866,0.951315,0.951315
3.296692,0.110782,0.950000,0.950000
3.383149,0.110074,0.950000,0.950000
3.469619,0.110000,0.950000,0.950000
3.556090,0.110000,0.950000,0.950000
3.642560,0.110000,0.950000,0.950000
3.729031,0.110000,0.950000,0.950000
3.815502,0.110000,0.950000,0.950000
3.901972,0.110000,0.950000,0.950000
3.988443,0.110000,0.950000,0.950000
4.074914,0.110000,0.950000,0.950000
4.161384,0.110000,0.950000,0.950000
4.247855,0.110000,0.950000,0.950000
4.334326,0.110000,0.950000,0.950000
4.420795,0.110165,0.950000,0.950000
4.507247,0.111100,0.950000,0.950000
4.593676,0.112921,0.951315,0.951315
4.680041,0.115979,0.961769,0.961769
4.766212,0.121582,0.982344,0.982344
4.852251,0.129167,0.996243,0.996243
4.938136,0.138403,1.004988,1.004988
5.023766,0.149823,1.000000,1.000000
5.109039,0.163793,0.996243,0.996243
5.193967,0.179506,1.030776,1.030776
5.278625,0.196768,1.050000,1.050000
5.362980,0.215625,1.054751,1.054751
5.446810,0.236529,1.096586,1.096586
5.529567,0.260667,1.097725,1.097725
5.611684,0.286796,1.123610,1.123610
5.693119,0.315256,1.140175,1.140175
