# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2025 competition track, car10 map. Centreline extracted from the ROS
# occupancy grid beside this file by tools/centerline_from_map.py.
# lap 106.9 m, 800 points, closure gap 0.15 m, 100% of the centreline inside the corridor.
5.90934, -4.80244, 0.71589, 0.71589
5.78949, -4.76911, 0.71589, 0.71589
5.67057, -4.73352, 0.72111, 0.72111
5.55535, -4.68899, 0.71589, 0.71589
5.43652, -4.65319, 0.69642, 0.69642
5.32019, -4.61133, 0.71589, 0.71589
5.20260, -4.57253, 0.72801, 0.72801
5.08856, -4.52516, 0.73824, 0.73824
4.97561, -4.47516, 0.74330, 0.74330
4.86512, -4.41921, 0.76158, 0.76158
4.75596, -4.36006, 0.77621, 0.77621
4.64992, -4.29339, 0.82006, 0.82006
4.54140, -4.23267, 0.80623, 0.80623
4.43713, -4.16172, 0.80777, 0.80777
4.32418, -4.11172, 0.82462, 0.82462
4.20432, -4.07839, 0.82765, 0.82765
4.07206, -4.07500, 0.77621, 0.77621
3.93840, -4.07500, 0.75166, 0.75166
3.80474, -4.07500, 0.72801, 0.72801
3.67108, -4.07500, 0.68007, 0.68007
3.53741, -4.07500, 0.65000, 0.65000
3.40375, -4.07500, 0.61847, 0.61847
3.27386, -4.06591, 0.60000, 0.60000
3.14710, -4.04924, 0.55000, 0.55000
3.02034, -4.03257, 0.55000, 0.55000
2.88981, -4.02500, 0.55000, 0.55000
2.76305, -4.00833, 0.55000, 0.55000
2.63630, -3.99167, 0.50000, 0.50000
2.50954, -3.97500, 0.50990, 0.50990
2.37908, -3.96727, 0.55902, 0.55902
2.25232, -3.95061, 0.52202, 0.52202
2.13246, -3.91727, 0.55000, 0.55000
2.01631, -3.87500, 0.58310, 0.58310
1.89697, -3.84042, 0.58523, 0.58523
1.77712, -3.80708, 0.55902, 0.55902
1.65054, -3.78996, 0.57009, 0.57009
1.53017, -3.75788, 0.55000, 0.55000
1.40815, -3.72977, 0.60000, 0.60000
1.29411, -3.68240, 0.65000, 0.65000
1.18116, -3.63240, 0.66708, 0.66708
1.06347, -3.59384, 0.70178, 0.70178
0.94452, -3.55833, 0.70000, 0.70000
0.82108, -3.53365, 0.72801, 0.72801
0.70122, -3.50032, 0.70711, 0.70711
0.58137, -3.46699, 0.75000, 0.75000
0.46244, -3.43140, 0.80000, 0.80000
0.34811, -3.38474, 0.85000, 0.85000
0.23992, -3.32325, 0.90000, 0.90000
0.16685, -3.22961, 0.88600, 0.88600
0.11351, -3.11805, 0.86313, 0.86313
0.07792, -2.99913, 0.85440, 0.85440
0.03957, -2.88135, 0.85000, 0.85000
0.00624, -2.76149, 0.89443, 0.89443
-0.02935, -2.64257, 0.89443, 0.89443
-0.07434, -2.52754, 0.89443, 0.89443
-0.11799, -2.41196, 0.90139, 0.90139
-0.16536, -2.29792, 0.91241, 0.91241
-0.21536, -2.18497, 0.91924, 0.91924
-0.28631, -2.08070, 0.93408, 0.93408
-0.37392, -1.99309, 1.01119, 1.01119
-0.46129, -1.90538, 1.00000, 1.00000
-0.54981, -1.81998, 0.90139, 0.90139
-0.64651, -1.75430, 0.86313, 0.86313
-0.76113, -1.70833, 0.85000, 0.85000
-0.88789, -1.69167, 0.80000, 0.80000
-1.01465, -1.67500, 0.80000, 0.80000
-1.14831, -1.67500, 0.80000, 0.80000
-1.28197, -1.67500, 0.80000, 0.80000
-1.41564, -1.67500, 0.80000, 0.80000
-1.54930, -1.67500, 0.80000, 0.80000
-1.68296, -1.67500, 0.77621, 0.77621
-1.81662, -1.67500, 0.75166, 0.75166
-1.95029, -1.67500, 0.75000, 0.75000
-2.08395, -1.67500, 0.75000, 0.75000
-2.21761, -1.67500, 0.75000, 0.75000
-2.35127, -1.67500, 0.75664, 0.75664
-2.48493, -1.67500, 0.77621, 0.77621
-2.61860, -1.67500, 0.80000, 0.80000
-2.75226, -1.67500, 0.80000, 0.80000
-2.88592, -1.67500, 0.80000, 0.80000
-3.01958, -1.67500, 0.81394, 0.81394
-3.15325, -1.67500, 0.85000, 0.85000
-3.28246, -1.68574, 0.85000, 0.85000
-3.40922, -1.70241, 0.90000, 0.90000
-3.53186, -1.72902, 0.90000, 0.90000
-3.65616, -1.75161, 0.95000, 0.95000
-3.77602, -1.78494, 0.95000, 0.95000
-3.89309, -1.82500, 1.00000, 1.00000
-4.01294, -1.85833, 1.05000, 1.05000
-4.13970, -1.87500, 1.05000, 1.05000
-4.27336, -1.87500, 1.05000, 1.05000
-4.40703, -1.87500, 1.05000, 1.05000
-4.54069, -1.87500, 1.05000, 1.05000
-4.67435, -1.87500, 1.05000, 1.05000
-4.80801, -1.87500, 1.05000, 1.05000
-4.94168, -1.87500, 1.05000, 1.05000
-5.07534, -1.87500, 1.05000, 1.05000
-5.20900, -1.87500, 1.05000, 1.05000
-5.34266, -1.87500, 1.05000, 1.05000
-5.47633, -1.87500, 1.05000, 1.05000
-5.60308, -1.89167, 1.05000, 1.05000
-5.72984, -1.90833, 1.10000, 1.10000
-5.84970, -1.90833, 1.10000, 1.10000
-5.96955, -1.87500, 1.05000, 1.05000
-6.08539, -1.83196, 0.98234, 0.98234
-6.20524, -1.79863, 0.90554, 0.90554
-6.32831, -1.77306, 0.90000, 0.90000
-6.45219, -1.74943, 0.85000, 0.85000
-6.57895, -1.73276, 0.85000, 0.85000
-6.70763, -1.72074, 0.85000, 0.85000
-6.83439, -1.70408, 0.85000, 0.85000
-6.96115, -1.68741, 0.80000, 0.80000
-7.08967, -1.67500, 0.80000, 0.80000
-7.21643, -1.65833, 0.80000, 0.80000
-7.34319, -1.64167, 0.75000, 0.75000
-7.46995, -1.62500, 0.75000, 0.75000
-7.59671, -1.60833, 0.75000, 0.75000
-7.72346, -1.59167, 0.70178, 0.70178
-7.85022, -1.57500, 0.72801, 0.72801
-7.98389, -1.57500, 0.75000, 0.75000
-8.11755, -1.57500, 0.71589, 0.71589
-8.24537, -1.58911, 0.70178, 0.70178
-8.36522, -1.58911, 0.70000, 0.70000
-8.48508, -1.58911, 0.70000, 0.70000
-8.60387, -1.59167, 0.70000, 0.70000
-8.73063, -1.60833, 0.70000, 0.70000
-8.85739, -1.62500, 0.68007, 0.68007
-8.99105, -1.62500, 0.65765, 0.65765
-9.12471, -1.62500, 0.65000, 0.65000
-9.25838, -1.62500, 0.65000, 0.65000
-9.39204, -1.62500, 0.65000, 0.65000
-9.52570, -1.62500, 0.65000, 0.65000
-9.65936, -1.62500, 0.65000, 0.65000
-9.79286, -1.62540, 0.65000, 0.65000
-9.91962, -1.64206, 0.63246, 0.63246
-10.04638, -1.65873, 0.65765, 0.65765
-10.16640, -1.69167, 0.65000, 0.65000
-10.29316, -1.70833, 0.70000, 0.70000
-10.41301, -1.74167, 0.68007, 0.68007
-10.53977, -1.75833, 0.70711, 0.70711
-10.65963, -1.79167, 0.68007, 0.68007
-10.77948, -1.82500, 0.69642, 0.69642
-10.89923, -1.85859, 0.71589, 0.71589
-11.01909, -1.89193, 0.69642, 0.69642
-11.13894, -1.92526, 0.71589, 0.71589
-11.25298, -1.97263, 0.72801, 0.72801
-11.36593, -2.02263, 0.75664, 0.75664
-11.47888, -2.07263, 0.77621, 0.77621
-11.59085, -2.12500, 0.78262, 0.78262
-11.70461, -2.17306, 0.78262, 0.78262
-11.81710, -2.22417, 0.79057, 0.79057
-11.92833, -2.27833, 0.80777, 0.80777
-12.03749, -2.33749, 0.82462, 0.82462
-12.12998, -2.41331, 0.87321, 0.87321
-12.19402, -2.51069, 0.89022, 0.89022
-12.23680, -2.62663, 0.87464, 0.87464
-12.27239, -2.74555, 0.87321, 0.87321
-12.31977, -2.85959, 0.87321, 0.87321
-12.35310, -2.97944, 0.90554, 0.90554
-12.39058, -3.09758, 0.90000, 0.90000
-12.40833, -3.22389, 0.95000, 0.95000
-12.42500, -3.35065, 0.95000, 0.95000
-12.42500, -3.48431, 0.95000, 0.95000
-12.40833, -3.61107, 0.95525, 0.95525
-12.38234, -3.73396, 0.92195, 0.92195
-12.34900, -3.85382, 0.91924, 0.91924
-12.32380, -3.97704, 0.96177, 0.96177
-12.28822, -4.09596, 0.97082, 0.97082
-12.22846, -4.20487, 1.02591, 1.02591
-12.14573, -4.30427, 1.02591, 1.02591
-12.04634, -4.38700, 0.99247, 0.99247
-11.94315, -4.46057, 0.93408, 0.93408
-11.83887, -4.53152, 0.91924, 0.91924
-11.72828, -4.58720, 0.90000, 0.90000
-11.61315, -4.63194, 0.85000, 0.85000
-11.49423, -4.66753, 0.80000, 0.80000
-11.37674, -4.70659, 0.75000, 0.75000
-11.25907, -4.74519, 0.75000, 0.75000
-11.13322, -4.76406, 0.71589, 0.71589
-11.00942, -4.78786, 0.74330, 0.74330
-10.88266, -4.80453, 0.71589, 0.71589
-10.76281, -4.83786, 0.74330, 0.74330
-10.63762, -4.85833, 0.70711, 0.70711
-10.51553, -4.88627, 0.72801, 0.72801
-10.38877, -4.90293, 0.70000, 0.70000
-10.26201, -4.91960, 0.70000, 0.70000
-10.13749, -4.94167, 0.70000, 0.70000
-10.01073, -4.95833, 0.66708, 0.66708
-9.88397, -4.97500, 0.70000, 0.70000
-9.75113, -4.97697, 0.70000, 0.70000
-9.62437, -4.99364, 0.66708, 0.66708
-9.49761, -5.01030, 0.65000, 0.65000
-9.37003, -5.02500, 0.65000, 0.65000
-9.23637, -5.02500, 0.65000, 0.65000
-9.10271, -5.02500, 0.65000, 0.65000
-8.96905, -5.02500, 0.65000, 0.65000
-8.83539, -5.02500, 0.65000, 0.65000
-8.70172, -5.02500, 0.65000, 0.65000
-8.57496, -5.04167, 0.65000, 0.65000
-8.44821, -5.05833, 0.65000, 0.65000
-8.32145, -5.07500, 0.65000, 0.65000
-8.18778, -5.07500, 0.65000, 0.65000
-8.05412, -5.07500, 0.65000, 0.65000
-7.92046, -5.07500, 0.65000, 0.65000
-7.78680, -5.07500, 0.65000, 0.65000
-7.65314, -5.07500, 0.65000, 0.65000
-7.51947, -5.07500, 0.65000, 0.65000
-7.38581, -5.07500, 0.65000, 0.65000
-7.25215, -5.07500, 0.65000, 0.65000
-7.11849, -5.07500, 0.65192, 0.65192
-6.98482, -5.07500, 0.68007, 0.68007
-6.85806, -5.05833, 0.68007, 0.68007
-6.73131, -5.04167, 0.68007, 0.68007
-6.61145, -5.00833, 0.70000, 0.70000
-6.48636, -4.98764, 0.72801, 0.72801
-6.36943, -4.94724, 0.70000, 0.70000
-6.24958, -4.91390, 0.71589, 0.71589
-6.12806, -4.88459, 0.69642, 0.69642
-6.00425, -4.86079, 0.71589, 0.71589
-5.87977, -4.83864, 0.71589, 0.71589
-5.76344, -4.79678, 0.72801, 0.72801
-5.64461, -4.76099, 0.75000, 0.75000
-5.52248, -4.73313, 0.75664, 0.75664
-5.39219, -4.72500, 0.75166, 0.75166
-5.26342, -4.71318, 0.74330, 0.74330
-5.13666, -4.69652, 0.75166, 0.75166
-5.00990, -4.67985, 0.75000, 0.75000
-4.87825, -4.67500, 0.75000, 0.75000
-4.74459, -4.67500, 0.75000, 0.75000
-4.61092, -4.67500, 0.75000, 0.75000
-4.47726, -4.67500, 0.75000, 0.75000
-4.35050, -4.69167, 0.75166, 0.75166
-4.22374, -4.70833, 0.72801, 0.72801
-4.09813, -4.72775, 0.75166, 0.75166
-3.97137, -4.74442, 0.76485, 0.76485
-3.85151, -4.77775, 0.74330, 0.74330
-3.73259, -4.81334, 0.72801, 0.72801
-3.61607, -4.85473, 0.70178, 0.70178
-3.50082, -4.89918, 0.71589, 0.71589
-3.39166, -4.95834, 0.66708, 0.66708
-3.28251, -5.01749, 0.65000, 0.65000
-3.17335, -5.07665, 0.63246, 0.63246
-3.06907, -5.14760, 0.62650, 0.62650
-2.96968, -5.23032, 0.60208, 0.60208
-2.87028, -5.31305, 0.55902, 0.55902
-2.76600, -5.38400, 0.57009, 0.57009
-2.66173, -5.45494, 0.54083, 0.54083
-2.56233, -5.53767, 0.56569, 0.56569
-2.46758, -5.63162, 0.57009, 0.57009
-2.36331, -5.70256, 0.58310, 0.58310
-2.25903, -5.77350, 0.60208, 0.60208
-2.15499, -5.84501, 0.60415, 0.60415
-2.05923, -5.93651, 0.66708, 0.66708
-1.95495, -6.00746, 0.70711, 0.70711
-1.84091, -6.05483, 0.67082, 0.67082
-1.72106, -6.08816, 0.63246, 0.63246
-1.59667, -6.11055, 0.65192, 0.65192
-1.46899, -6.12500, 0.65000, 0.65000
-1.33761, -6.11950, 0.65000, 0.65000
-1.21085, -6.10283, 0.65000, 0.65000
-1.08409, -6.08617, 0.60000, 0.60000
-0.95505, -6.07500, 0.60000, 0.60000
-0.82139, -6.07500, 0.60000, 0.60000
-0.69463, -6.05833, 0.60000, 0.60000
-0.56787, -6.04167, 0.55902, 0.55902
-0.44111, -6.02500, 0.60000, 0.60000
-0.30745, -6.02500, 0.60000, 0.60000
-0.18069, -6.04167, 0.58523, 0.58523
-0.05393, -6.05833, 0.55000, 0.55000
0.07283, -6.07500, 0.55000, 0.55000
0.20649, -6.07500, 0.55000, 0.55000
0.33325, -6.09167, 0.55000, 0.55000
